i=398,cost=5715,A=0.325480,B=98.431380
i=399,cost=5711,A=0.325255,B=99.255764
i=400,cost=5708,A=0.325031,B=100.077156
i=401,cost=5704,A=0.324807,B=100.895567
i=402,cost=5700,A=0.324585,B=101.711007
i=403,cost=5697,A=0.324363,B=102.523488
i=404,cost=5693,A=0.324141,B=103.333020
i=405,cost=5690,A=0.323921,B=104.139614
i=406,cost=5686,A=0.323702,B=104.943280
i=407,cost=5683,A=0.323483,B=105.744030
i=408,cost=5679,A=0.323265,B=106.541874
i=409,cost=5676,A=0.323048,B=107.336821
i=410,cost=5672,A=0.322831,B=108.128884
i=411,cost=5669,A=0.322616,B=108.918072
i=412,cost=5665,A=0.322401,B=109.704396
i=413,cost=5662,A=0.322187,B=110.487866
i=414,cost=5659,A=0.321974,B=111.268492
i=415,cost=5655,A=0.321761,B=112.046285
i=416,cost=5652,A=0.321549,B=112.821255
i=417,cost=5649,A=0.321338,B=113.593413
i=418,cost=5646,A=0.321128,B=114.362768
i=419,cost=5642,A=0.320919,B=115.129331
i=420,cost=5639,A=0.320710,B=115.893112
i=421,cost=5636,A=0.320502,B=116.654120
i=422,cost=5633,A=0.320295,B=117.412367
i=423,cost=5630,A=0.320089,B=118.167862
i=424,cost=5627,A=0.319883,B=118.920614
i=425,cost=5623,A=0.319678,B=119.670635
i=426,cost=5620,A=0.319474,B=120.417934
i=427,cost=5617,A=0.319271,B=121.162520
i=428,cost=5614,A=0.319068,B=121.904404
i=429,cost=5611,A=0.318866,B=122.643596
i=430,cost=5608,A=0.318665,B=123.380104
i=431,cost=5605,A=0.318464,B=124.113940
i=432,cost=5602,A=0.318265,B=124.845112
i=433,cost=5600,A=0.318066,B=125.573630
i=434,cost=5597,A=0.317867,B=126.299505
i=435,cost=5594,A=0.317670,B=127.022745
i=436,cost=5591,A=0.317473,B=127.743360
i=437,cost=5588,A=0.317277,B=128.461359
i=438,cost=5585,A=0.317081,B=129.176753
i=439,cost=5583,A=0.316887,B=129.889551
i=440,cost=5580,A=0.316693,B=130.599761
i=441,cost=5577,A=0.316499,B=131.307394
i=442,cost=5574,A=0.316307,B=132.012458
i=443,cost=5572,A=0.316115,B=132.714964
i=444,cost=5569,A=0.315924,B=133.414919
i=445,cost=5566,A=0.315733,B=134.112335
i=446,cost=5564,A=0.315543,B=134.807219
i=447,cost=5561,A=0.315354,B=135.499581
i=448,cost=5558,A=0.315166,B=136.189431
i=449,cost=5556,A=0.314978,B=136.876776
i=450,cost=5553,A=0.314791,B=137.561627
i=451,cost=5551,A=0.314604,B=138.243993
i=452,cost=5548,A=0.314419,B=138.923882
i=453,cost=5546,A=0.314234,B=139.601303
i=454,cost=5543,A=0.314049,B=140.276266
i=455,cost=5541,A=0.313865,B=140.948779
i=456,cost=5538,A=0.313682,B=141.618851
i=457,cost=5536,A=0.313500,B=142.286491
i=458,cost=5533,A=0.313318,B=142.951709
i=459,cost=5531,A=0.313137,B=143.614512
i=460,cost=5529,A=0.312957,B=144.274909
i=461,cost=5526,A=0.312777,B=144.932909
i=462,cost=5524,A=0.312598,B=145.588522
i=463,cost=5521,A=0.312420,B=146.241754
i=464,cost=5519,A=0.312242,B=146.892616
i=465,cost=5517,A=0.312065,B=147.541116
i=466,cost=5515,A=0.311888,B=148.187262
i=467,cost=5512,A=0.311712,B=148.831063
i=468,cost=5510,A=0.311537,B=149.472528
i=469,cost=5508,A=0.311362,B=150.111664
i=470,cost=5506,A=0.311188,B=150.748481
i=471,cost=5503,A=0.311015,B=151.382986
i=472,cost=5501,A=0.310842,B=152.015189
i=473,cost=5499,A=0.310670,B=152.645097
i=474,cost=5497,A=0.310499,B=153.272719
i=475,cost=5495,A=0.310328,B=153.898063
i=476,cost=5493,A=0.310158,B=154.521137
i=477,cost=5490,A=0.309988,B=155.141950
i=478,cost=5488,A=0.309819,B=155.760510
i=479,cost=5486,A=0.309651,B=156.376825
i=480,cost=5484,A=0.309483,B=156.990903
i=481,cost=5482,A=0.309316,B=157.602752
i=482,cost=5480,A=0.309149,B=158.212381
i=483,cost=5478,A=0.308983,B=158.819797
i=484,cost=5476,A=0.308818,B=159.425009
i=485,cost=5474,A=0.308653,B=160.028024
i=486,cost=5472,A=0.308489,B=160.628850
i=487,cost=5470,A=0.308326,B=161.227496
i=488,cost=5468,A=0.308163,B=161.823969
i=489,cost=5466,A=0.308000,B=162.418278
i=490,cost=5464,A=0.307839,B=163.010429
i=491,cost=5462,A=0.307677,B=163.600431
i=492,cost=5460,A=0.307517,B=164.188292
i=493,cost=5459,A=0.307357,B=164.774019
i=494,cost=5457,A=0.307197,B=165.357621
i=495,cost=5455,A=0.307039,B=165.939104
i=496,cost=5453,A=0.306880,B=166.518477
i=497,cost=5451,A=0.306723,B=167.095747
i=498,cost=5449,A=0.306565,B=167.670922
i=499,cost=5448,A=0.306409,B=168.244010
i=500,cost=5446,A=0.306253,B=168.815018
i=501,cost=5444,A=0.306097,B=169.383953
i=502,cost=5442,A=0.305943,B=169.950823
i=503,cost=5441,A=0.305788,B=170.515636
i=504,cost=5439,A=0.305635,B=171.078399
i=505,cost=5437,A=0.305481,B=171.639119
i=506,cost=5435,A=0.305329,B=172.197805
i=507,cost=5434,A=0.305177,B=172.754463
i=508,cost=5432,A=0.305025,B=173.309100
i=509,cost=5430,A=0.304874,B=173.861725
i=510,cost=5429,A=0.304724,B=174.412343
i=511,cost=5427,A=0.304574,B=174.960964
i=512,cost=5425,A=0.304425,B=175.507593
i=513,cost=5424,A=0.304276,B=176.052238
i=514,cost=5422,A=0.304128,B=176.594907
i=515,cost=5421,A=0.303980,B=177.135606
i=516,cost=5419,A=0.303833,B=177.674342
i=517,cost=5417,A=0.303686,B=178.211124
i=518,cost=5416,A=0.303540,B=178.745957
i=519,cost=5414,A=0.303394,B=179.278849
i=520,cost=5413,A=0.303249,B=179.809807
i=521,cost=5411,A=0.303105,B=180.338838
i=522,cost=5410,A=0.302961,B=180.865949
i=523,cost=5408,A=0.302817,B=181.391147
i=524,cost=5407,A=0.302674,B=181.914438
i=525,cost=5405,A=0.302532,B=182.435831
i=526,cost=5404,A=0.302390,B=182.955331
i=527,cost=5402,A=0.302249,B=183.472946
i=528,cost=5401,A=0.302108,B=183.988682
i=529,cost=5399,A=0.301967,B=184.502546
i=530,cost=5398,A=0.301828,B=185.014545
i=531,cost=5396,A=0.301688,B=185.524686
i=532,cost=5395,A=0.301549,B=186.032976
i=533,cost=5394,A=0.301411,B=186.539420
i=534,cost=5392,A=0.301273,B=187.044027
i=535,cost=5391,A=0.301136,B=187.546802
i=536,cost=5389,A=0.300999,B=188.047753
i=537,cost=5388,A=0.300863,B=188.546885
i=538,cost=5387,A=0.300727,B=189.044206
i=539,cost=5385,A=0.300591,B=189.539722
i=540,cost=5384,A=0.300456,B=190.033439
i=541,cost=5383,A=0.300322,B=190.525365
i=542,cost=5381,A=0.300188,B=191.015505
i=543,cost=5380,A=0.300055,B=191.503866
i=544,cost=5379,A=0.299922,B=191.990455
i=545,cost=5377,A=0.299789,B=192.475278
i=546,cost=5376,A=0.299657,B=192.958341
i=547,cost=5375,A=0.299526,B=193.439651
i=548,cost=5374,A=0.299395,B=193.919214
i=549,cost=5372,A=0.299264,B=194.397037
i=550,cost=5371,A=0.299134,B=194.873125
i=551,cost=5370,A=0.299005,B=195.347486
i=552,cost=5369,A=0.298876,B=195.820124
i=553,cost=5367,A=0.298747,B=196.291048
i=554,cost=5366,A=0.298619,B=196.760262
i=555,cost=5365,A=0.298491,B=197.227774
i=556,cost=5364,A=0.298364,B=197.693588
i=557,cost=5363,A=0.298237,B=198.157712
i=558,cost=5362,A=0.298111,B=198.620152
i=559,cost=5360,A=0.297985,B=199.080913
i=560,cost=5359,A=0.297859,B=199.540002
i=561,cost=5358,A=0.297734,B=199.997424
i=562,cost=5357,A=0.297610,B=200.453187
i=563,cost=5356,A=0.297486,B=200.907295
i=564,cost=5355,A=0.297362,B=201.359755
i=565,cost=5354,A=0.297239,B=201.810574
i=566,cost=5352,A=0.297116,B=202.259755
i=567,cost=5351,A=0.296994,B=202.707307
i=568,cost=5350,A=0.296872,B=203.153234
i=569,cost=5349,A=0.296751,B=203.597543
